,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
71,,"yahir v.v","2021-11-22 19:07:16",0,no,no,:'v🥀,UCLoiUyn_n3Gbop0S8Lcgbbg,UgxVAhEaAvVkJqGDZQd4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxVAhEaAvVkJqGDZQd4AaABAg
72,,"Soos Zoos","2021-11-22 19:53:01",0,no,no,"Fantastic music video holy shit",UC55FJSupU5dAzJycIp13f2A,Ugyw8KuOO3rpM601AWJ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugyw8KuOO3rpM601AWJ4AaABAg
73,,Mauricio,"2021-11-22 20:34:10",0,no,no,"I recognize i come from tik tok",UCdgs6SrRHaV1vhZPVFLLrvg,UgxAyx8JvDqorIth8xJ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxAyx8JvDqorIth8xJ4AaABAg
74,,"Tori Raymond","2021-11-22 21:57:09",0,no,no,"i’m so upset that i’m just discovering this song…",UC4Av-pbvz9Tm0qbF1DJMPsw,Ugwx0l43DVYov8oCi7B4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugwx0l43DVYov8oCi7B4AaABAg
75,,"Nayely Comun S","2021-11-22 23:39:27",0,no,no,"chale, esta canción es muy buena sin embargo tiene poco apoyo :ccc",UCU7EyVcRxxqkjxwrk8ecYXg,UgxQa2mFleEaWY2ZCnZ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxQa2mFleEaWY2ZCnZ4AaABAg
76,,"Gabriel Muller","2021-11-23 01:05:47",0,no,no,"Yo solo quiero estar en la ciudad de noche caminando escuchando esta cancion",UCxEeQRaNU5MZUR2FY7mY-tQ,UgyH_YS7G9QaonTIPZl4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgyH_YS7G9QaonTIPZl4AaABAg
77,,"Jason Stead","2021-11-23 01:12:34",1,no,no,"Sure it's a calming notion, perpetual in motion
But I don't need the comfort of any lies
For I have seen the ending and there is no ascending
Rise
Oh, back when I was younger, was told by other youngsters
That my end will be torture beneath the earth
'Cause I don't see what they see, when death is staring at me
I see a window, a limit, to live it, or not at all
If you could pull the lever to carry on forever
Would your life even matter anymore?
Sure it's a calming notion, perpetual in motion
But it's not what you signed up for
I'm sure there won't always be sunshine
But there's this momentary beam of light
You don't have to wait those salty decades
To get through the gate, it's all in front of your face
I'm sure there won't always be sunshine
I'm sure there won't always be sunshine
But there's this momentary beam of light
I could cross the ocean in a fit of devotion
For every shining second, this fragile body beckons
You think you're owed it better believing ancient letters
Sure it's a calming notion, but it's a lie",UCmtfOJbV-VfNn32lihr05KA,UgwIqkc1Ec7TvFrS7yV4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwIqkc1Ec7TvFrS7yV4AaABAg
78,,"Daniel Chung","2021-11-23 03:04:50",0,no,no,"Bless my friend for sending me a reel on IG because I have been blessed with this amazing song!!! Only wish now I could hear it again for the first time!",UCb2l6izdvR2kT7BbJb0svtA,UgwfdCQPqajiwxfIlKV4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwfdCQPqajiwxfIlKV4AaABAg
79,,"JACK BAUMGARDNER","2021-11-23 03:17:42",0,no,no,"Gives me surf curse vibes love it 😊",UC2RR8JBUBSIIYC_KPW5wJhQ,UgxBa8Sgh1Vryj53Wgl4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxBa8Sgh1Vryj53Wgl4AaABAg
80,,"Bayu Zulianto","2021-11-23 11:28:01",0,no,no,"This so good song and the best!!!",UCYGbZpx25VopJDzOnGcPsVw,UgyXE6rHbBF_xgYhlw94AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgyXE6rHbBF_xgYhlw94AaABAg
